name,regular_price,categories,short_description,description,sku,stock_status,type,image,tax_class
First Tray Marbling Kit,96,Shop > Starter Kits,"A guided first setup with tray, sizing, alum, comb, droppers, and cotton test sheets.","Everything a new marbler needs to pull the first clean print without chasing supplies across multiple catalogs.",MB-KIT-FIRST,instock,simple,,
Bookbinder Endpaper Kit,124,Shop > Starter Kits,"Coordinated pigments, alum, cotton sheets, and edition cards for custom endpapers.","Built for binders planning covers, case bindings, journals, and small edition work.",MB-KIT-ENDPAPER,instock,simple,,
Classroom Safe Marbling Kit,148,Shop > Starter Kits,"Low-mess tools, shared color cups, gloves, and simple chemistry notes for group sessions.","Designed for art teachers and workshop hosts who need repeatable results and fast cleanup.",MB-KIT-CLASS,instock,simple,,
Carrageenan Sizing Powder,22,Shop > Surface Chemistry,"Measured powder for building a smooth floating bath.","A replenishable studio staple packed with clear mixing ratios and batch notes.",MB-CHEM-CARRAGEENAN,instock,simple,,
Alum Prep Solution,18,Shop > Surface Chemistry,"Paper mordant for stronger pigment transfer on cotton sheets and card blanks.","Use before printing to help marbled colors grip evenly across absorbent surfaces.",MB-CHEM-ALUM,instock,simple,,
pH Strip and Scoop Set,14,Shop > Surface Chemistry,"Test strips, measuring scoops, and a laminated bench card for consistent chemistry.","Small tools that keep sizing batches predictable from one studio day to the next.",MB-CHEM-PH,instock,simple,,
Storm Garden Pigment Set,42,Shop > Pigments & Color,"Five botanical greens, blues, and smoky violets for organic comb patterns.","A moody color story for endpapers, envelopes, wrapping sheets, and art prints.",MB-COLOR-STORM,instock,simple,,
Madder and Brass Accent Set,38,Shop > Pigments & Color,"Warm red, ochre, brass, and umber accents for historical paper palettes.","Adds bookish warmth to classic stone, bouquet, and nonpareil patterns.",MB-COLOR-MADDER,instock,simple,,
Test Swatch Paper Pack,16,Shop > Pigments & Color,"Pre-cut strips for testing color spread, bath strength, and pigment balance.","Keep a visible record before committing full sheets to the tray.",MB-COLOR-SWATCH,instock,simple,,
Maple Comb Pair,34,Shop > Tools & Workspace,"Two spacing combs for nonpareil lines, feathering, and controlled pulls.","Comfortable wood-handled combs sized for common studio trays.",MB-TOOLS-COMBS,instock,simple,,
Adjustable Pattern Rake,46,Shop > Tools & Workspace,"A sliding-pin rake for waves, chevrons, and wide repeat structures.","Tune the spacing for stationery runs, endpaper editions, and workshop demonstrations.",MB-TOOLS-RAKE,instock,simple,,
Drying Line Clip Set,28,Shop > Tools & Workspace,"Waxed line, stainless clips, and labels for organizing wet prints.","Turns a small room into a tidy drying station without mixing up editions.",MB-TOOLS-DRYING,instock,simple,,
Cotton Sheet Studio Pack,32,Shop > Paper & Projects,"Twenty absorbent cotton sheets cut for tray work and bookbinding use.","A reliable surface for crisp pulls, deep color, and easy trimming.",MB-PAPER-COTTON,instock,simple,,
Card Blank and Envelope Bundle,30,Shop > Paper & Projects,"Folded cards, envelopes, and note slips for weekend stationery projects.","Make small giftable sets from the same bath before the color story changes.",MB-PAPER-CARDS,instock,simple,,
Pattern Archive Logbook,24,Shop > Paper & Projects,"A ring-bound log for bath recipes, pigment notes, and edition samples.","Track what worked so favorite patterns can be repeated later.",MB-PAPER-LOGBOOK,instock,simple,,
